keyword,latitude,longitude,description
Medicines,32.1553801,88.9783839,array
Sports,29.0409903,89.5946327,even-keeled
Appliances,34.3726549,91.0159731,Assimilated
Clothing,34.2587924,92.4102637,Optional
Clothing,30.8838751,88.4779934,Decentralized
Outdoors,30.5087396,92.0949313,dynamic
Medicines,29.6485997,92.4611285,Polarised
Garden,34.7172393,88.2659102,Persistent
Appliances,31.1373563,90.8621117,maximized
Food,32.2010949,89.4720873,grid-enabled
Medicines,31.6437596,91.4748007,monitoring
Food,33.9877342,88.2588442,Pre-emptive
Clothing,32.2220915,90.2237508,portal
Others,31.6372374,93.7307186,solution
Appliances,29.2270283,92.0104525,standardization
Water,33.1907372,90.7505574,Synergized
Garden,31.5288099,92.7144831,mobile
Medicines,33.9465597,90.783794,Profit-focused
Medicines,30.2295249,91.8535911,Networked
Garden,30.0978363,92.6035084,analyzer
Medicines,34.8378493,92.272651,4th generation
Clothing,31.6562928,90.4905239,model
Music,30.5158444,92.4894927,Up-sized
Home,31.7304968,89.4225228,Total
Outdoors,29.6091705,89.3556942,Open-source
Medicines,30.5826852,90.1620118,transitional
Home,29.7405207,89.2805471,knowledge user
Food,34.3562095,89.1431604,policy
Medicines,29.8146361,90.5612846,model
Water,31.047072,91.1964699,Total
Tools,29.9362279,89.6387567,Public-key
Garden,34.7324561,93.8809199,homogeneous
Medicines,31.2975336,90.9612438,Front-line
Appliances,32.0648353,90.5749429,Fully-configurable
Medicines,34.3049709,93.0953261,encoding
Medicines,34.0395483,91.5671666,Fully-configurable
Water,34.2311508,88.9602373,structure
Appliances,30.9112726,88.3040254,open system
Food,31.9610383,92.586254,Exclusive
Medicines,29.0865236,90.3310772,standardization
Appliances,34.3881548,89.7317506,Fully-configurable
Food,30.0729456,92.2656039,Expanded
Clothing,34.1087012,92.5589826,architecture
Appliances,32.0740023,89.7419295,Stand-alone
Tools,29.2014947,90.101938,Phased
Garden,34.4484406,93.7503272,Ameliorated
Clothing,32.5383751,88.7285528,Horizontal
Water,31.7419036,89.3301145,tertiary
Others,30.2439157,90.2374203,Multi-tiered
Appliances,30.5292507,90.0354672,Operative
Home,32.0973448,92.7574209,real-time
Medicines,33.823228,93.1284531,Robust
Food,31.4069536,89.5268145,projection
Medicines,29.6804981,92.1312366,algorithm
Appliances,29.3922728,90.8823675,Expanded
Appliances,32.8768392,90.8994176,6th generation
Clothing,34.7072136,89.445462,customer loyalty
Others,30.5470089,91.9088885,Business-focused
Appliances,29.7210319,90.1329451,info-mediaries
Appliances,33.6659196,92.1346121,Mandatory
Appliances,30.4289356,93.6371519,systematic
Tools,31.13961,89.706529,zero defect
Clothing,29.8154004,91.4545417,Re-contextualized
Water,31.7000596,89.9643331,projection
Garden,33.4237646,90.5648194,knowledge base
Food,29.855813,92.4579996,3rd generation
Tools,34.5639338,92.9397286,Focused
Outdoors,30.2879454,90.2972592,time-frame
Garden,32.4824345,90.2174202,bifurcated
Grocery,34.2220302,93.252636,local
Music,32.7540532,91.0907836,hierarchy
Appliances,31.7083488,92.042541,process improvement
Home,29.768417499999998,91.8349943,implementation
Medicines,29.7031104,90.9709058,definition
Medicines,34.2153031,90.9532247,Seamless
Food,30.1617722,89.5879919,static
Water,29.0382398,92.1189724,Face to face
Garden,30.7795173,89.3096674,maximized
Medicines,34.5348473,88.1897746,foreground
Home,34.0967204,90.8819128,Profit-focused
Food,32.5880277,88.0885559,Enterprise-wide
Water,34.4019946,90.7942578,paradigm
Food,33.734763,88.7418658,data-warehouse
Water,34.6863622,92.8935878,methodology
Water,30.9840354,93.4168044,Adaptive
Water,34.8872144,92.6690491,Sharable
Water,33.5325625,93.7846467,Sharable
Clothing,31.5145271,93.8164507,exuding
Clothing,32.7903887,89.8597868,superstructure
Home,30.0016185,91.4048472,optimal
Medicines,33.6556575,88.2687708,Team-oriented
Food,31.7673089,89.5150736,maximized
Grocery,30.2245942,92.1099618,Versatile
Appliances,30.1638113,92.0237619,support
Music,34.1142781,92.5711049,Automated
Sports,33.0202395,93.0653491,24 hour
Music,30.3909367,91.3147915,actuating
Home,31.9321405,90.221718,Stand-alone
Medicines,34.6356038,92.0596785,Devolved
Outdoors,33.5750279,91.9016677,fresh-thinking
Appliances,33.6985469,92.9264198,Profound
Appliances,29.4676999,92.7933642,middleware
Medicines,31.7958467,91.4764675,clear-thinking
Music,33.502592,89.3907483,encoding
Medicines,34.1418877,89.8255199,orchestration
Others,33.1522993,89.7793055,Public-key
Food,32.7828535,91.3271752,directional
Medicines,29.5547759,90.8710275,Focused
Medicines,33.5677104,88.4325089,didactic
Home,34.4541572,91.802117,6th generation
Outdoors,34.9928103,93.1474281,collaboration
Outdoors,33.7009598,88.3086127,help-desk
Sports,34.799703,91.7985737,exuding
Others,32.0015548,89.7082136,adapter
Garden,30.6583265,92.3174576,matrices
Others,31.8495404,92.3557457,Decentralized
Water,31.2677452,91.7242933,help-desk
Water,34.790183,88.6166609,success
Grocery,32.5929258,91.7489512,Cloned
Clothing,34.9370229,91.5137675,infrastructure
Medicines,32.8347448,88.2544442,Visionary
Outdoors,34.9939018,91.7199435,Public-key
Home,34.4280401,88.3141017,Re-contextualized
Appliances,33.6890863,92.8280645,Grass-roots
Clothing,30.675223,88.6345387,internet solution
Medicines,32.7922311,90.6212252,Networked
Clothing,30.4470557,88.2083461,Exclusive
Grocery,33.3684306,89.6012707,incremental
Sports,29.8451262,90.086895,mission-critical
Sports,30.0696485,89.0748109,non-volatile
Medicines,33.1912762,92.5944815,synergy
Food,31.9675371,91.6203827,Graphical User Interface
Water,32.3969477,88.9222386,contingency
Clothing,32.1378228,90.134266,systemic
Food,30.8698858,93.824406,6th generation
Medicines,31.6079577,88.8552653,paradigm
Medicines,29.4278871,89.4385345,User-centric
Clothing,34.809658400000004,91.7326499,artificial intelligence
Tools,29.9820356,91.8565562,actuating
Clothing,32.2343609,88.3149604,architecture
Appliances,33.2265135,90.045007,Versatile
Medicines,31.1283824,89.2794967,Customizable
Food,30.9495517,90.1133585,Versatile
Outdoors,33.8287187,90.2673169,next generation
Food,29.2622459,93.3173638,middleware
Home,34.1273455,88.2490044,projection
Garden,30.9302347,91.4150677,responsive
Medicines,32.111414,88.6254711,installation
Clothing,34.6161049,88.8859196,solution-oriented
Clothing,32.6382191,93.9042489,firmware
Food,29.8722327,90.5045191,Pre-emptive
Outdoors,34.1480569,90.4105266,empowering
Music,30.5484972,93.7560972,forecast
Clothing,31.8827975,93.9254767,logistical
Grocery,32.5441314,89.016938,real-time
Garden,34.7877586,89.2320559,productivity
Clothing,30.5486776,92.8404207,Balanced
Clothing,32.6707219,93.9935683,productivity
Medicines,31.6331183,88.1773671,portal
Tools,33.3012811,91.6698496,product
Medicines,34.7185341,88.2313473,Distributed
Medicines,31.6560906,90.6832596,homogeneous
Tools,29.9772807,90.6430398,Inverse
Medicines,33.8778894,88.3388344,Triple-buffered
Clothing,30.7706082,90.5944733,demand-driven
Water,29.6701717,89.1833882,Ergonomic
Appliances,33.745972,89.5350598,emulation
Clothing,29.7213058,92.4473143,24/7
Clothing,30.322987,93.9053694,Reduced
Appliances,29.0882064,93.0397748,Fully-configurable
Food,34.4024096,89.8985612,Multi-channelled
Clothing,31.8057969,92.0449493,moratorium
Clothing,29.4357318,93.3603212,workforce
Medicines,32.3745204,92.8914044,Seamless
Food,31.203898,93.0254056,homogeneous
Water,34.1244974,88.3640749,benchmark
Garden,30.3571716,89.849121,neutral
Clothing,30.9496194,90.5225713,function
Medicines,31.4840072,90.1315145,emulation
Food,29.3736593,93.9162717,mobile
Medicines,33.7840482,92.2216111,Inverse
Outdoors,33.6331562,88.804991,actuating
Tools,30.2848222,88.4407684,asynchronous
Medicines,32.0228954,90.5680587,Down-sized
Food,33.9358323,91.349219,policy
Clothing,29.088366,93.7014232,Horizontal
Home,30.4764789,89.1493383,help-desk
Appliances,34.1952245,88.1676665,Re-contextualized
Appliances,29.7817731,93.4315527,Synergized
Sports,29.0379845,89.4579871,framework
Tools,34.292566,89.001939,Persevering
Outdoors,33.5378343,93.3346513,Multi-layered
Food,29.4282734,89.9844647,system-worthy
Clothing,34.3888864,93.8889086,time-frame
Medicines,31.0256298,89.653889,reciprocal
Tools,33.602038,88.0642741,zero tolerance
Sports,33.8916623,93.5754406,local
Medicines,29.2539844,90.4554686,collaboration
Sports,30.5979352,89.9887306,Profit-focused
Food,32.7854473,90.886877,software
Clothing,32.461805,90.3764283,process improvement
Medicines,33.4519633,89.4779906,analyzer
Medicines,29.7841946,89.860719,solution
Grocery,31.7832569,93.171201,Graphical User Interface
Medicines,30.5469403,91.8147276,Secured
Tools,34.3829724,92.2268239,implementation
Outdoors,32.4956965,90.4034548,middleware
Food,33.909656,93.8991357,Innovative
Medicines,29.5408211,91.5708916,uniform
Medicines,32.8949467,92.619532,hardware
Water,30.8047911,88.1317857,systemic
Clothing,32.0715316,90.8004606,uniform
Food,32.056557,91.3851047,local
Others,31.3545623,88.1972258,Streamlined
Clothing,34.7201188,90.5076636,flexibility
Home,30.2523212,91.5589405,Profound
Clothing,30.2490489,89.4830517,software
Medicines,33.7537824,93.576946,orchestration
Appliances,34.2550135,93.4919827,Vision-oriented
Medicines,33.741846699999996,89.9019038,Team-oriented
Water,33.6163609,93.0624768,infrastructure
Music,34.8468312,90.5665213,Programmable
Music,30.515746,89.2788316,Multi-layered
Appliances,31.4418898,89.8204222,demand-driven
Medicines,31.0028057,93.6478677,success
Appliances,34.8513419,90.8082941,Multi-layered
Medicines,34.8807121,89.8453691,Assimilated
Water,32.8952256,88.2703674,Multi-tiered
Home,29.0100685,88.9841986,info-mediaries
Clothing,30.3755454,92.895121,foreground
Food,33.7477913,91.8919449,Compatible
Tools,34.4981099,92.2373429,Stand-alone
Music,34.3982377,90.3033883,Integrated
Music,34.377021,90.8828249,stable
Water,31.345968,90.2099546,Polarised
Food,29.8602206,89.7021028,Programmable
Medicines,32.6710147,91.950059,even-keeled
Water,34.6233238,88.4938809,projection
Appliances,31.0844065,91.9902622,hierarchy
Water,31.9979435,90.8058147,fresh-thinking
Sports,32.5920646,93.3603758,Digitized
Others,31.9242362,89.3172249,Profound
Clothing,34.7383441,92.5404525,model
Food,31.6282784,90.0329627,open system
Clothing,31.8559314,91.2241009,Visionary
Home,33.9819797,88.511973,Adaptive
Clothing,34.772021,88.8216518,User-friendly
Tools,34.148502,90.1278079,flexibility
Food,30.5281228,90.9061177,Realigned
Medicines,29.8688252,90.6136997,knowledge user
Clothing,30.9870463,92.8242905,dynamic
Clothing,29.0680687,93.1445028,product
Food,33.9319165,91.515545,3rd generation
Tools,30.5202669,89.6316817,emulation
Food,31.1783119,93.8121923,intranet
Clothing,34.690598,90.1030615,Function-based
Clothing,34.0975427,91.7248308,capability
Clothing,33.9345566,93.9622403,encoding
Medicines,30.92042,89.2034293,service-desk
Medicines,34.5625788,93.4076209,local area network
Appliances,33.8950022,90.1246134,Balanced
Garden,29.1116461,92.5512924,Optimized
Medicines,32.3402278,90.1097481,actuating
Tools,32.8805098,90.9208891,grid-enabled
Garden,32.6056759,89.9372267,mission-critical
Sports,29.5934446,93.7788955,task-force
Clothing,33.2934053,92.0834011,parallelism
Water,31.0252809,88.1945146,service-desk
Home,29.394392,92.5411253,time-frame
Others,30.5790974,90.8220256,Cloned
Food,30.3186791,88.4537618,benchmark
Food,34.1400507,89.7413348,algorithm
Clothing,29.0033806,93.9510606,Persistent
Food,31.6701339,91.8788189,radical
Food,31.0843399,90.673536,success
Medicines,33.5595164,90.8809513,info-mediaries
Tools,33.8627947,89.667566,attitude
Medicines,34.2241499,93.173261,uniform
Music,31.629524,92.2497415,Profit-focused
Sports,29.5930742,92.2844651,Total
Appliances,31.9947355,90.486709,Multi-lateral
Grocery,30.6520386,92.9687827,User-friendly
Clothing,34.4414728,91.2958228,bifurcated
Food,31.9025578,88.7181565,Vision-oriented
Others,34.781338,93.2364723,intranet
Appliances,29.5980312,91.8891227,24/7
Outdoors,29.096137,92.2613533,Decentralized
Water,30.6327947,90.7186798,toolset
Music,30.8080911,89.0008104,throughput
Water,34.4946701,90.8446349,installation
Medicines,31.2412666,90.0169733,support
Appliances,32.0992353,89.9658361,Diverse
Medicines,29.8505389,89.6136975,workforce
Appliances,34.2253975,90.8029625,orchestration
Sports,32.2157453,89.8933429,Devolved
Grocery,32.8422455,91.7969812,customer loyalty
Home,29.0845684,90.2861167,knowledge base
Medicines,31.7028575,88.5579592,utilisation
Food,33.6434959,88.4289363,leverage
Tools,34.3389304,89.8327564,software
Medicines,31.3570112,92.6911862,exuding
Appliances,32.6638282,93.7446309,model
Food,34.9511609,88.6783686,ability
Music,34.3169608,89.6077048,policy
Food,33.389162,89.4578692,actuating
Clothing,30.4591793,91.8192007,Distributed
Tools,31.9771778,91.2058062,standardization
Water,34.8474889,90.369246,Reverse-engineered
Garden,33.1298521,92.6160282,asynchronous
Medicines,33.002266,93.9292664,modular
Food,33.4669304,92.8019973,Exclusive
Outdoors,29.3259057,93.995032,architecture
Medicines,34.0437481,91.8790206,human-resource
Tools,32.5037919,91.0122372,paradigm
Home,30.0678632,89.0740665,time-frame
Music,31.706469,92.6985616,Cross-group
Water,34.4040254,93.4423764,Profit-focused
Appliances,31.2026711,88.8901376,intermediate
Others,30.459634,92.244753,Multi-channelled
Medicines,32.2844635,93.72799,superstructure
Music,34.8152913,92.0983899,Balanced
Food,34.6380013,92.2102106,benchmark
Medicines,32.7229577,93.2301728,system-worthy
Water,33.7605033,88.5983675,hub
Others,30.0099499,88.9491749,Cross-platform
Medicines,31.2004886,88.2757787,well-modulated
Food,32.493842,91.5448049,asynchronous
Grocery,33.8636269,91.9298557,systemic
Garden,34.8996324,92.1915262,Expanded
Home,30.818241,90.5314485,Multi-channelled
Clothing,34.898536,89.5324555,Triple-buffered
Medicines,29.4089142,88.5707703,analyzing
Garden,30.5201199,92.7318195,Balanced
Others,34.608450500000004,91.6668318,Seamless
Music,29.3518526,93.7289275,Devolved
Medicines,34.968496,93.5387366,composite
Sports,30.8659037,91.5737444,task-force
Food,32.5758143,88.4672899,challenge
Grocery,32.6345393,93.0917668,bandwidth-monitored
Clothing,31.0831744,92.4733564,fault-tolerant
Appliances,33.4431448,89.0747188,Phased
Outdoors,30.7747749,91.9192769,Versatile
Tools,34.8119974,91.0561075,system engine
Appliances,32.1916958,89.8641259,fault-tolerant
Garden,31.5084187,91.1680116,background
Food,29.2231061,92.1436518,coherent
Home,31.4659194,91.9483192,Seamless
Water,29.4173654,90.6346987,cohesive
Garden,32.894972,89.0792928,productivity
Medicines,29.3193944,91.8848182,open system
Outdoors,31.0772625,89.8466906,analyzing
Clothing,31.1624473,91.8223312,analyzing
Medicines,32.36746,91.2341425,interface
Water,30.9909898,93.8814143,installation
Food,29.3996157,89.7558086,web-enabled
Clothing,33.3542819,92.0384245,local area network
Garden,30.872311,90.2225473,multimedia
Garden,30.6493571,88.4192365,tangible
Grocery,29.3078798,89.1866925,Organized
Water,31.9370287,88.0912941,actuating
Medicines,34.0266485,90.6156391,Networked
Water,34.8254093,88.7467911,support
Music,32.9477904,93.6923685,object-oriented
Food,31.434966,88.8293412,Future-proofed
Clothing,34.3592695,88.8276591,framework
Clothing,34.4146206,93.2152485,foreground
Medicines,32.4036729,88.0256636,access
Medicines,31.0847464,88.7592786,Persevering
Medicines,31.8789859,91.1708835,Public-key
Others,30.5644723,89.7530504,Innovative
Food,30.6003517,89.3011439,Function-based
Medicines,34.151506,89.5794163,Horizontal
Medicines,29.4352073,90.6248681,framework
Medicines,31.3208116,93.1355005,bifurcated
Sports,29.6455647,91.8169346,Ergonomic
Food,34.9330273,90.0652958,User-centric
Food,30.3668569,92.2966585,real-time
Clothing,31.7805036,92.8862105,methodology
Medicines,30.2959969,89.5515684,throughput
Clothing,31.3619534,91.6100326,User-friendly
Food,34.8613512,90.3251423,synergy
Grocery,29.1782385,88.5902963,Expanded
Outdoors,33.2444706,91.0222995,Visionary
Food,32.2584304,91.0501838,archive
Food,29.2418854,93.0795903,toolset
Medicines,30.0969313,88.8299192,Multi-layered
Outdoors,32.9312867,90.4107421,Horizontal
Others,33.2866757,91.0587079,customer loyalty
Music,33.7260157,88.4076295,maximized
Tools,30.749914,88.0273241,Customer-focused
Home,34.5812325,91.5323445,firmware
Clothing,33.8410464,93.7636287,Reverse-engineered
Grocery,32.9164428,93.8472385,model
Appliances,32.0327404,91.9233368,Configurable
Food,31.6432472,91.4581571,Virtual
Grocery,33.1178323,90.9458075,implementation
Clothing,34.7918248,92.39862,methodology
Grocery,30.5904966,89.3495652,Advanced
Sports,31.296992,90.6156144,projection
Grocery,29.5866046,88.5959835,forecast
Appliances,33.7339951,88.7173572,value-added
Others,30.9239485,89.2338384,Self-enabling
Medicines,32.4264082,92.4126076,Multi-tiered
Clothing,31.9615416,89.781857,Centralized
Appliances,31.7404977,91.4357961,circuit
Clothing,29.7694161,88.2540267,systemic
Food,34.2071277,90.1876251,Upgradable
Clothing,33.7961698,93.3191542,maximized
Medicines,33.9801422,91.9839892,time-frame
Medicines,29.4796525,89.5745114,Expanded
Others,31.1091992,93.4824717,knowledge base
Garden,34.3569226,91.6452484,strategy
Food,29.4699082,91.9766151,knowledge base
Appliances,32.6807852,89.589395,Cross-platform
Medicines,31.0025872,93.6241146,impactful
Music,34.3529812,89.8450736,Optimized
Appliances,29.8290714,89.194784,matrices
Medicines,31.1731106,93.3636261,adapter
Home,31.849891,92.470211,context-sensitive
Clothing,31.1614638,93.3069156,fault-tolerant
Sports,32.7345521,93.5956004,Streamlined
Others,29.0965062,90.4459467,project
Water,32.4504782,91.0778346,client-server
Food,29.1552858,89.4952203,internet solution
Medicines,33.7554018,91.692819,composite
Garden,29.4899293,91.6025472,Enterprise-wide
Medicines,31.2548477,93.0300841,Triple-buffered
Appliances,34.492169,91.1042905,demand-driven
Food,32.3656721,93.809653,adapter
Medicines,32.056113,89.7718455,eco-centric
Medicines,31.0756586,93.8766807,Robust
Sports,30.3532814,89.2574172,circuit
Appliances,30.2237765,88.1032448,dynamic
Clothing,33.9425954,91.9130384,framework
Outdoors,29.6012516,88.4823082,next generation
Sports,31.3596941,88.9193504,productivity
Clothing,31.425662,89.4628169,directional
Music,33.571018,93.0956639,high-level
Food,30.3290717,92.6842863,needs-based
Home,33.2614104,93.0098431,Organized
Food,34.5781329,88.220499,Function-based
Others,32.3170786,88.7835792,migration
Medicines,29.1568211,91.4736919,Secured
Home,32.852234,91.5395377,extranet
Medicines,30.8294298,93.0682819,exuding
Food,30.3603663,90.221058,Re-contextualized
Water,29.4163147,93.190946,success
Appliances,30.8848482,92.802618,solution
Medicines,30.3081366,93.7127795,Diverse
Medicines,33.7982673,91.1519988,User-centric
Garden,33.136686,88.8830522,info-mediaries
Appliances,33.0787867,90.6116641,systemic
Medicines,31.7386063,91.476966,web-enabled
Appliances,33.839683,91.8052759,algorithm
Medicines,30.7323064,92.6300216,local
Food,29.8240954,92.6427136,composite
Outdoors,34.4716656,91.0743073,Phased
Medicines,34.2390404,88.8534155,grid-enabled
Water,31.8424193,89.7490226,real-time
Home,32.0460621,88.4939011,executive
Tools,31.9044784,92.2121215,object-oriented
Appliances,30.0605473,89.6150216,background
Garden,31.4332818,89.0992571,national
Food,30.2030065,91.5299372,Decentralized
Food,30.352194,88.3084662,3rd generation
Others,29.6345338,88.2965409,budgetary management
Tools,30.8714423,90.2462757,Persevering
Clothing,34.1224461,93.7493416,function
Clothing,32.2750369,92.6871621,productivity
Water,33.2788761,88.7611144,Front-line
Appliances,31.0730629,90.0570356,multi-state
Clothing,34.8978317,90.6264878,asynchronous
Water,34.7066797,92.8176925,structure
Grocery,32.4144218,90.5688263,concept
Sports,34.7352803,89.1559778,Advanced
Food,29.4344392,93.6814553,hardware
Water,34.3600879,93.512894,help-desk
Grocery,34.4902294,93.7535665,multimedia
Medicines,33.7652657,88.7108156,24/7
Home,29.4042662,91.548,Self-enabling
Grocery,32.5677066,93.4347723,dynamic
Medicines,29.6760935,88.3544974,eco-centric
Clothing,34.4666767,93.2729103,Visionary
Tools,31.5778979,91.235892,ability
Food,30.7141473,88.1573851,Secured
Clothing,34.0019494,89.1613303,migration
Appliances,31.5813265,93.3721319,Pre-emptive
Medicines,29.402851599999998,88.1644777,Advanced
Food,34.7695771,90.9807953,Profound
Others,33.4787492,93.0132297,Advanced
Water,34.048,88.5384644,Optional
Medicines,31.3337066,89.9682222,actuating
Water,33.0075229,89.074001,intangible
Others,30.4792828,89.2228169,paradigm
Medicines,34.9775004,88.9597605,global
Clothing,33.7237542,89.5972897,Function-based
Medicines,32.2118301,90.1304358,orchestration
Water,30.1031247,89.0871771,orchestration
Sports,30.0340411,89.8039226,attitude
Medicines,31.9473818,93.0247698,De-engineered
Clothing,29.9361948,88.1628049,encompassing
Outdoors,33.805543,90.4022988,static
Sports,31.8949258,88.0149139,complexity
Food,33.6058904,93.2513054,human-resource
Appliances,34.2598144,93.6968835,zero administration
Clothing,31.1144047,91.2651827,discrete
Appliances,31.5641184,93.1029155,logistical
Food,30.0776307,89.0265804,model
Food,33.3912466,89.2622177,Team-oriented
Grocery,31.952099,90.2444454,Re-contextualized
Clothing,34.1072971,90.2718117,Polarised
Outdoors,31.4123642,88.5287521,Fully-configurable
Medicines,33.0562039,93.2211063,Up-sized
Music,34.5988764,88.9750804,productivity
Others,29.1604306,90.662296,Reverse-engineered
Medicines,30.864235,88.5571263,cohesive
Clothing,30.5000648,88.8892814,Distributed
Food,30.8187562,91.1774193,productivity
Food,32.4886632,88.5914482,access
Food,29.9925406,91.2431686,intermediate
Appliances,33.5671046,92.6630004,Adaptive
Medicines,34.8393311,91.6700491,Future-proofed
Grocery,29.0358645,90.5153688,Persevering
Home,30.0933579,88.3812903,6th generation
Clothing,33.0474881,90.2894699,workforce
Appliances,29.5150969,91.3001904,knowledge user
Clothing,34.8144602,88.5641652,interactive
Tools,33.4702708,91.5557365,leading edge
Food,31.9647015,93.4997657,array
Medicines,32.8286031,91.2251847,encoding
Food,31.4628168,89.5380702,bottom-line
Home,29.1742238,89.9995865,Organized
Water,31.0081902,90.3642753,even-keeled
Home,31.8453315,91.7067578,bottom-line
Clothing,33.1546125,88.4609078,collaboration
Others,32.4481531,88.9291008,Business-focused
Water,31.6267191,92.7932973,bandwidth-monitored
Others,33.1131506,88.7464156,Organized
Garden,29.3874437,91.5918689,Organized
Sports,31.8923813,91.6704611,motivating
Appliances,32.9136962,90.4559526,clear-thinking
Appliances,31.7238255,88.9258648,Multi-layered
Clothing,29.5859466,93.6906759,budgetary management
Clothing,30.0463652,92.3874661,disintermediate
Clothing,30.4155381,90.0975627,moderator
Home,34.1899105,88.1997982,groupware
Food,32.1156551,91.7847137,fresh-thinking
Clothing,31.3962377,90.5112367,hardware
Food,31.3386065,90.4594233,radical
Home,34.8597334,90.2373035,data-warehouse
Food,32.1392605,89.8268275,Grass-roots
Food,33.4107706,91.5708365,intranet
Food,31.3333906,88.4387672,ability
Medicines,29.779814000000002,90.9191126,Fundamental
Clothing,33.8796365,92.9497685,flexibility
Music,34.4515296,92.1076007,Fully-configurable
Home,32.0076302,91.4342626,Re-contextualized
Appliances,31.6894667,90.9488594,object-oriented
Clothing,32.1182398,88.4299013,radical
Others,31.8639063,91.8899445,adapter
Water,34.6912622,93.9236351,empowering
Medicines,30.6287788,93.5662905,database
Medicines,30.007328,92.64283760000001,knowledge user
Water,30.2302689,91.5788494,tertiary
Clothing,33.0361765,89.694752,time-frame
Home,31.7879144,93.5434908,strategy
Water,34.1742591,92.3162844,6th generation
Others,34.2893769,91.9133641,next generation
Clothing,31.4366651,88.3486021,3rd generation
Grocery,34.7079577,92.663556,logistical
Appliances,29.5208346,93.534717,Universal
Clothing,31.3571009,89.8686459,web-enabled
Appliances,31.1880935,93.9763105,composite
Medicines,33.0937941,92.0336166,Optimized
Food,29.5910307,91.4008962,User-friendly
Appliances,32.8669972,88.6424794,Programmable
Grocery,31.3937377,88.4031958,flexibility
Food,34.9015697,93.675382,Re-engineered
Medicines,34.2593082,89.0786704,De-engineered
Grocery,33.4428298,89.342499,web-enabled
Clothing,34.6564854,89.8731562,Proactive
Medicines,30.9344247,89.4311751,Implemented
Appliances,30.7212852,93.5627093,Graphical User Interface
Music,31.5788556,88.1127509,Profit-focused
Music,33.6574994,89.1094345,protocol
Appliances,32.7660321,90.2777134,hybrid
Medicines,33.9152847,91.5697374,architecture
Clothing,34.817969,92.560413,Seamless
Food,30.2558739,88.6102971,fault-tolerant
Water,29.5403072,90.5599429,full-range
Water,30.8431927,90.5078246,system engine
Appliances,31.5784354,91.3892961,Automated
Water,30.9298058,91.9312101,6th generation
Garden,34.5536144,91.5181964,benchmark
Appliances,31.3822398,91.3812839,function
Food,31.9359722,93.7369026,client-driven
Grocery,31.8823064,88.6154711,incremental
Others,34.6435677,93.1961049,mobile
Garden,29.0224578,93.344198,groupware
Medicines,31.9581717,93.7453188,core
Garden,30.0627253,88.9497057,support
Medicines,29.3680597,90.5160713,client-server
Grocery,32.7747601,91.0496946,non-volatile
Food,29.5385249,93.0731284,Automated
Water,32.1738432,88.8061711,Focused
Food,29.0838746,92.7468224,hardware
Water,29.3284999,90.0175244,contextually-based
Water,30.7477811,91.6904249,Realigned
Food,31.083547,93.2851924,Balanced
Water,29.2439022,88.3719788,focus group
Outdoors,33.612374,93.0402466,Organized
Tools,33.9166812,88.2519578,monitoring
Food,32.0555162,93.9489275,Multi-layered
Appliances,30.4108371,92.8302896,Networked
Food,33.3278892,88.0040912,coherent
Food,31.9493189,89.6818734,database
Clothing,34.065248,92.5401963,neutral
Appliances,31.4972047,90.5866525,Right-sized
Music,29.1343226,91.575537,policy
Medicines,31.4979224,92.7853073,encoding
Water,30.6934525,90.6706328,Universal
Clothing,30.2626982,93.8241869,user-facing
Clothing,33.4758663,89.9740328,algorithm
Music,29.3093505,90.7974713,array
Appliances,33.0472612,88.5094822,eco-centric
Food,34.6767333,90.8302299,upward-trending
Sports,29.2081743,93.2058978,composite
Water,34.5538764,93.3917928,Stand-alone
Outdoors,29.400904099999998,88.3747437,5th generation
Grocery,31.6266604,89.2284692,Reverse-engineered
Medicines,33.8240182,88.5190507,Customer-focused
Grocery,33.0647171,90.8830999,maximized
Appliances,29.0678742,89.5559214,methodology
Food,33.4705177,90.4580463,Streamlined
Appliances,31.8828685,92.9412125,paradigm
Clothing,34.4816304,89.8814609,Enterprise-wide
Clothing,34.8608444,93.5414562,stable
Food,32.0803554,89.4559798,Digitized
Music,31.991826,88.4132252,flexibility
Food,31.2668668,93.6506718,algorithm
Appliances,30.7207734,93.7192364,Profound
Food,33.2883743,93.369187,client-server
Appliances,33.0471376,89.9608719,architecture
Sports,34.3848493,90.7590122,groupware
Clothing,33.8875198,88.842066,even-keeled
Medicines,34.2579754,91.8375297,system engine
Clothing,34.9426591,91.8176817,context-sensitive
Food,33.6307367,91.2906751,Streamlined
Medicines,31.9578791,91.0641367,extranet
Garden,29.4092131,89.5044362,impactful
Clothing,33.610027,93.4293265,Graphic Interface
Sports,30.0704691,88.6716602,time-frame
Water,32.7273598,91.1414257,core
Food,34.8511121,89.971216,directional
Others,32.9771296,91.5358364,Intuitive
Water,32.8324307,92.3337223,Grass-roots
Medicines,32.9247472,93.1641709,Exclusive
Grocery,29.4253614,88.7682414,Ameliorated
Medicines,34.6799657,93.2958703,database
Clothing,31.4092834,89.9164881,Phased
Others,29.6982768,92.0194588,Extended
Others,30.7972691,93.8370774,clear-thinking
Garden,30.1169385,90.3955036,project
Clothing,32.8623986,91.0225071,asymmetric
Garden,29.6913067,90.3812351,bi-directional
Music,34.3707158,93.7441003,motivating
Water,34.9289582,91.4455696,Vision-oriented
Outdoors,32.8062011,91.7187589,pricing structure
