id,item,keyword,latitude,longitude,ipv4
423,Implemented,Outdoors,19.8650305577,88.3615930459,125.213.124.74
424,demand-driven,Beauty,21.030782947,77.806926038,163.255.134.169
425,web-enabled,Home,11.3430095428,71.3315354386,205.153.237.111
426,Exclusive,Tools,35.3273042859,74.4211903976,164.22.191.5
427,Multi-tiered,Computers,31.5793545717,69.9396529868,128.151.171.254
428,Reduced,Movies,16.0010656477,94.4726335644,28.95.243.65
429,intangible,Sports,34.7132815416,68.7243080036,161.155.88.216
430,bandwidth-monitored,Shoes,29.8201221197,87.7312691141,7.30.222.166
431,contextually-based,Jewelery,21.5613840515,72.9003976391,210.201.127.197
432,exuding,Industrial,21.1909216107,77.3417413455,3.181.179.157
433,frame,Games,9.9894451844,80.2217186076,0.70.67.57
434,Future-proofed,Books,17.0608933834,72.6007895374,10.2.54.153
435,software,Outdoors,20.2623039254,70.2274860861,229.190.134.79
436,toolset,Electronics,34.91491428,80.2240131307,84.12.140.12
437,contingency,Shoes,33.7071735666,81.699224994,189.25.245.205
438,moderator,Automotive,37.0417375349,86.9957828934,254.154.105.204
439,context-sensitive,Books,8.5272869607,94.0105423086,45.20.167.253
440,capability,Electronics,9.7779446181,91.4664012282,236.154.20.75
441,interactive,Shoes,9.2206979701,81.5829731339,46.141.148.245
442,Innovative,Automotive,13.0398366671,85.0921724299,115.225.222.188
443,foreground,Garden,15.445854406,82.2066091502,83.247.131.215
444,Managed,Computers,12.3928079644,80.8210311929,40.175.7.207
445,Up-sized,Sports,27.6481289484,69.3850727668,140.79.100.76
446,parallelism,Books,14.9439993139,82.6805298183,233.111.2.242
447,Up-sized,Electronics,32.7387801099,91.7704129506,117.84.170.191
448,Decentralized,Games,25.0311830958,72.619266938,91.190.58.232
449,utilisation,Home,11.4022862626,78.3527650462,103.188.152.218
450,attitude,Tools,37.1792765983,81.3712973593,181.7.194.127
451,solution-oriented,Toys,23.3006940233,83.1004705586,12.207.254.36
452,approach,Electronics,8.5827262024,84.8414851441,12.0.123.32
453,dedicated,Books,34.3003480174,83.5964047778,42.70.38.3
454,Ameliorated,Shoes,17.6953582487,69.783719727,89.100.71.127
455,groupware,Music,14.1006831095,85.1888354283,195.222.113.117
456,Pre-emptive,Clothing,12.3508391993,90.5007874562,245.72.14.111
457,multi-tasking,Kids,29.780969379,72.014163824,173.82.216.190
458,scalable,Health,27.0224599389,83.8345369539,86.158.11.18
459,Streamlined,Health,14.5073389225,80.9110809343,144.34.240.52
460,extranet,Outdoors,26.606242457,82.9265219032,174.247.30.163
461,solution-oriented,Shoes,21.7560679145,70.9975129726,242.37.34.41
462,Future-proofed,Tools,19.3612212122,91.0481470969,66.232.44.129
463,application,Home,10.5991984611,75.3717590651,200.51.252.164
464,national,Beauty,36.607394455,81.1773087404,33.134.175.207
465,Phased,Shoes,26.8309551538,79.4874283998,217.174.26.109
466,Graphical User Interface,Jewelery,10.501631288,74.2855261511,92.231.56.15
467,Graphical User Interface,Computers,28.2716552189,90.8691538371,74.34.226.38
468,Distributed,Industrial,21.9832717462,78.5433074372,186.59.73.143
469,Programmable,Garden,10.4593817463,69.7650731633,191.134.198.105
470,Operative,Grocery,25.5410567288,72.3068906973,50.241.135.240
471,monitoring,Music,11.72349532,88.0731074659,102.94.42.217
472,forecast,Computers,13.7268222133,86.6467122442,65.156.255.33
473,ability,Computers,26.0592717932,83.8321265637,149.92.54.132
474,Configurable,Outdoors,29.6208785117,91.0688318937,20.198.141.128
475,high-level,Jewelery,10.6800418536,91.1124262459,14.49.53.138
476,bi-directional,Grocery,14.2889172535,86.9521558745,36.10.26.106
477,Reactive,Toys,32.8237559062,70.1325441298,181.33.219.25
478,Public-key,Jewelery,34.3662955867,80.9867561717,178.227.207.171
479,projection,Music,37.0158704714,73.1572298112,143.131.175.60
480,incremental,Jewelery,15.3406664959,78.6861947018,77.76.249.38
481,tangible,Music,35.8616681127,80.7947435157,195.66.50.34
482,impactful,Sports,15.8362694154,84.7829552889,43.179.152.221
483,Programmable,Automotive,35.6783926814,70.9765092256,190.244.39.110
484,Configurable,Movies,23.5733648812,87.8409367843,55.151.178.235
485,Customizable,Beauty,26.239668577,91.5838921725,9.241.175.217
486,Right-sized,Music,11.9353173744,91.5582172792,134.137.162.255
487,policy,Sports,36.3583794556,94.7557639271,128.135.214.25
488,alliance,Baby,12.6151910129,85.4702781024,63.178.181.205
489,archive,Sports,25.5470890285,86.2664714145,254.36.58.27
490,Function-based,Shoes,25.1590924298,89.1703827155,167.117.240.196
491,Reverse-engineered,Books,16.3387426922,74.7694747842,208.211.106.248
492,architecture,Jewelery,36.5128836102,88.1275992302,143.15.50.224
493,empowering,Beauty,10.0252644164,77.8359325902,142.160.112.170
494,Down-sized,Garden,10.1732109349,96.0092724553,38.123.36.202
495,responsive,Garden,26.4916850985,86.8257991116,213.181.57.44
496,application,Games,36.449376252,79.3672000146,50.123.229.221
497,Up-sized,Jewelery,24.0547588302,94.7175642344,22.205.139.28
498,Cross-group,Sports,11.6172649815,89.0671451699,178.232.237.119
499,function,Tools,11.1056300567,93.9230586454,18.150.113.4
500,Business-focused,Books,22.4712141742,79.3193081458,155.233.46.187
501,solution,Sports,35.8590481649,87.0473305689,55.23.154.120
502,mission-critical,Home,10.5618468977,85.5643884082,95.109.240.12
503,contingency,Toys,26.4705590911,97.1691812183,17.107.32.81
504,Business-focused,Games,28.2072371796,90.4272207709,159.118.190.252
505,multi-state,Jewelery,18.6232727082,94.5943987577,137.91.127.148
506,internet solution,Beauty,21.209048861,69.1491307171,45.202.15.129
507,product,Computers,14.998542991,75.5088080726,137.220.175.175
508,capability,Home,17.3428781445,79.1996283723,230.231.174.242
509,Enterprise-wide,Computers,16.4556424195,88.6259681585,144.218.212.44
510,pricing structure,Health,24.322657705,78.4798730613,164.150.5.63
511,neutral,Outdoors,21.8291302455,76.499036846,12.180.25.62
512,encryption,Industrial,29.162129186,78.5571141306,149.3.189.159
513,neutral,Shoes,12.7173924632,73.9124326542,79.165.115.111
514,zero tolerance,Kids,13.8315419703,95.4739738818,89.61.39.204
515,solution-oriented,Tools,9.8396934076,75.2455311574,9.29.132.218
516,client-server,Automotive,22.9613101407,74.7294384978,60.210.78.143
517,Polarised,Electronics,22.0645856173,95.8288947518,90.12.149.56
518,client-driven,Home,23.0251424911,84.0571774807,229.184.83.128
519,architecture,Electronics,32.1328342695,72.2015626891,137.59.100.254
520,Ergonomic,Games,29.4791993747,88.9705571201,236.236.234.77
521,task-force,Games,20.4872545358,81.7776937488,213.70.36.37
522,support,Electronics,16.6108335426,90.2877121159,116.39.1.178
523,approach,Toys,10.8134234901,90.8202691195,76.51.166.22
524,productivity,Sports,37.044163973,95.9498059454,19.235.74.182
525,encryption,Grocery,27.0551855784,85.31493009,94.63.39.98
526,Seamless,Baby,18.6038401867,89.0502312314,134.114.42.204
527,challenge,Music,18.7784250664,88.7663037304,175.204.191.35
528,Fundamental,Beauty,11.4830679302,96.382690262,53.63.180.56
529,user-facing,Toys,14.3690818535,96.6767358278,89.142.206.146
530,disintermediate,Movies,32.2307234322,87.6470753247,172.60.248.183
531,pricing structure,Shoes,14.0148296725,92.0570233722,196.107.166.84
532,De-engineered,Computers,14.7392733938,83.7697801474,109.125.77.77
533,24/7,Electronics,36.7969046724,96.0574131943,254.240.223.126
534,software,Computers,35.5427567663,82.8366386802,46.50.175.33
535,explicit,Home,24.0818537719,92.5889258636,228.94.111.226
536,Profound,Games,23.0086958419,92.8851545744,64.229.61.241
537,Centralized,Grocery,19.2648453914,96.568962189,231.235.238.182
538,approach,Home,32.0433211136,97.1725380564,125.54.223.143
539,Centralized,Sports,17.8875564308,96.6473618449,187.190.235.93
540,Persistent,Outdoors,20.7140835059,79.4765140524,49.135.15.75
541,actuating,Computers,12.79380846,96.7097870868,237.19.75.213
542,holistic,Outdoors,13.3184136843,89.8431805634,166.123.198.71
543,systemic,Baby,22.0149690206,89.6670412288,89.231.196.248
544,eco-centric,Music,10.4508032224,73.2426944085,198.117.226.139
545,bandwidth-monitored,Outdoors,8.8010854158,77.2661747312,98.104.76.89
546,composite,Clothing,18.907627716,79.1873888453,183.53.191.147
547,Programmable,Beauty,29.3683079196,88.2701677529,59.53.119.88
548,intranet,Jewelery,18.1639523001,74.3049611148,31.135.142.61
549,Enterprise-wide,Automotive,18.0713014763,78.2592293918,9.32.81.244
550,approach,Games,10.3471531787,95.6958913082,147.84.22.165
551,ability,Clothing,23.6306229523,90.3570765794,129.6.22.236
552,zero defect,Computers,37.2782517792,80.3906141703,117.172.219.137
553,User-centric,Toys,21.1382078407,75.6053881427,45.239.120.148
554,eco-centric,Electronics,22.1889328384,69.2549964476,59.101.122.121
555,Implemented,Games,29.5681673029,90.2958350375,42.224.231.205
556,Future-proofed,Garden,33.0510005532,89.3937912431,141.59.86.127
557,array,Baby,27.2785589456,74.3163019646,143.102.253.204
558,encryption,Outdoors,14.2380158885,88.9867211253,163.209.101.253
559,support,Electronics,17.3398127736,84.307653544,41.67.194.170
560,human-resource,Sports,12.3604476252,92.8034514777,26.180.62.88
561,full-range,Jewelery,14.7710363485,90.3069094444,36.253.136.149
562,fault-tolerant,Health,29.2855294464,73.6754086774,143.163.1.0
563,heuristic,Outdoors,13.0559462708,95.8143977923,177.89.127.220
564,Multi-layered,Games,35.570321146,72.411614361,247.185.165.0
565,analyzer,Garden,17.553154912,76.1436777703,58.118.55.177
566,Fundamental,Tools,18.5636915581,84.4984070497,8.247.33.147
567,Self-enabling,Games,22.3740075342,73.3644420406,54.253.98.23
568,bottom-line,Industrial,32.1615761162,69.342940766,40.252.160.58
569,Phased,Toys,8.6071125001,77.5825122067,24.190.119.73
570,firmware,Automotive,13.7533187531,90.2280827587,189.97.27.248
571,approach,Industrial,27.8484333259,80.3395654135,142.164.53.123
572,optimizing,Books,8.4840378374,83.1028724801,81.176.114.226
573,Self-enabling,Garden,16.6609176583,79.4673407325,31.92.36.31
574,interface,Kids,17.0274420874,94.3983363817,246.21.107.130
575,Persevering,Automotive,20.0436915231,96.394863428,168.27.35.149
576,context-sensitive,Grocery,29.8565489177,85.1351612365,90.109.142.175
577,core,Clothing,29.2273715114,73.6066911099,132.228.121.255
578,Open-architected,Books,22.0040982231,73.3113247332,95.13.65.89
579,conglomeration,Automotive,13.3337801029,82.1533734296,173.193.177.223
580,encryption,Electronics,18.9293188316,70.6858018303,191.113.75.254
581,Function-based,Automotive,31.0166327204,85.4491311492,233.188.90.226
582,adapter,Automotive,20.760362145,95.2233177058,44.193.12.208
583,moratorium,Automotive,19.4797972221,87.9229335062,219.133.47.168
584,Multi-layered,Books,19.6717108858,92.9902110564,84.64.175.211
585,Versatile,Jewelery,13.0647749852,92.0315946721,183.206.230.233
586,heuristic,Kids,35.3744895446,93.0594717575,210.29.165.85
587,leverage,Outdoors,15.9085933494,69.853029543,53.121.236.133
588,help-desk,Toys,11.1867536683,77.4657185499,20.63.167.201
589,cohesive,Clothing,14.707709048,88.5284487736,240.216.140.167
590,Total,Industrial,23.6727651706,92.8576118779,212.95.215.165
591,Quality-focused,Grocery,10.5364239936,95.7372987045,160.158.227.31
592,Expanded,Clothing,23.7927710658,89.9676414483,55.245.121.30
593,secured line,Games,9.6461350255,80.5424914331,102.79.195.74
594,Decentralized,Sports,15.9467666785,87.4596185635,148.131.218.136
595,productivity,Health,12.3436051758,70.094298479,235.90.88.121
596,Down-sized,Automotive,18.2241709582,74.5409635789,203.126.213.60
597,implementation,Toys,20.897864646,93.627044111,57.207.136.85
598,actuating,Sports,11.716299234,96.7784292394,244.178.20.130
599,Realigned,Toys,13.46755163,77.3890618402,182.41.156.14
600,system-worthy,Grocery,23.0184051625,78.0819436717,176.76.250.212
601,Cross-group,Health,27.5009925554,89.2687805002,220.233.92.197
602,directional,Baby,33.8701787662,74.5808287795,248.72.44.232
603,synergy,Outdoors,37.2950259517,88.7997760963,255.245.128.207
604,Face to face,Kids,18.1282972337,88.6457483481,56.75.144.132
605,secured line,Shoes,13.2414040366,80.3041959283,24.159.33.79
606,secured line,Books,27.8628135555,90.6892127914,185.207.124.155
607,radical,Tools,8.9146266496,93.6002355585,243.254.157.206
608,Phased,Jewelery,32.0521725448,75.6358376974,239.52.32.149
609,Phased,Grocery,19.3557095923,88.182182568,246.98.225.69
610,mission-critical,Music,21.8698332533,83.6347404115,14.41.14.247
611,Universal,Garden,36.1059823728,73.9566350209,189.53.116.73
612,Fundamental,Games,13.3356701814,72.3078229121,135.25.205.23
613,Multi-channelled,Home,37.0833788985,88.3251104373,33.68.254.163
614,Multi-layered,Clothing,11.2252551377,74.9896852313,165.161.4.56
615,non-volatile,Health,19.365526,77.2756226347,88.155.154.153
616,Implemented,Jewelery,12.2824347672,71.8175285477,123.143.226.41
617,disintermediate,Garden,14.0352555014,75.145131666,125.80.244.213
618,moratorium,Movies,17.040889982,83.2622513134,206.63.152.124
619,Mandatory,Computers,9.6133559133,95.8152209453,199.74.224.150
620,product,Shoes,11.7676890825,84.2700158691,16.128.241.70
621,Grass-roots,Toys,20.4439912452,89.1859864157,65.213.233.94
622,Assimilated,Sports,29.3993163989,69.8362373053,236.249.236.169
623,extranet,Beauty,35.0450020149,80.8588609435,109.143.163.120
624,encryption,Music,11.9575255281,83.2689537279,100.224.58.2
625,Visionary,Tools,27.8592523881,69.2445303963,248.24.95.194
626,Synchronised,Movies,11.423902317,88.4950207142,30.37.192.98
627,Ameliorated,Garden,24.1685875455,81.7802127374,194.28.176.107
628,instruction set,Garden,27.049242295,74.0082773815,57.95.132.201
629,groupware,Kids,17.8727327211,72.1832475743,52.116.162.115
630,Down-sized,Music,19.0698594841,85.8173216043,192.66.95.49
631,3rd generation,Music,15.721128315,97.0707961697,84.204.194.195
632,heuristic,Beauty,10.6240444584,87.6942890195,28.22.56.215
633,Cross-platform,Health,26.8952678577,80.6265620808,213.46.238.12
634,parallelism,Clothing,15.3026345533,74.3874975946,202.60.100.17
635,User-centric,Jewelery,23.3007765291,82.3200689992,95.221.76.150
636,open architecture,Electronics,14.8024012932,95.9714882323,102.229.11.241
637,Graphical User Interface,Computers,29.3936083389,69.5947844777,175.130.156.79
638,Fully-configurable,Industrial,13.3268566892,93.0004768963,188.238.152.114
639,multi-tasking,Games,18.1997599191,92.6069399222,137.48.58.209
640,Virtual,Industrial,33.4744435661,89.4100723872,205.11.116.106
641,benchmark,Kids,30.5112499553,94.5071620606,182.134.237.41
642,intangible,Grocery,18.053485988,96.5775003977,70.5.124.212
643,Customizable,Tools,9.6669510304,90.4287740901,175.28.127.245
644,Grass-roots,Music,10.1135352329,83.8283009356,87.68.139.50
645,attitude-oriented,Beauty,8.9921122225,93.1792793443,208.50.196.104
646,application,Grocery,22.5157843227,78.6451782797,71.169.144.172
647,matrix,Electronics,30.1805727217,87.9538053706,184.88.56.199
648,task-force,Sports,29.7153780497,70.6707805574,56.109.227.172
649,bottom-line,Toys,31.1618521868,93.8539129088,110.154.9.109
650,neutral,Jewelery,12.5045253424,79.1337593102,179.79.180.177
651,high-level,Jewelery,27.0441365654,95.2811904668,163.217.0.227
652,maximized,Computers,11.761761985,88.1595754941,179.62.162.214
653,attitude-oriented,Shoes,12.6823349306,83.6310954475,165.220.125.166
654,systematic,Outdoors,20.6198637438,95.6627958746,29.237.20.207
655,object-oriented,Industrial,28.8456753255,72.357060491,145.27.28.252
656,optimizing,Clothing,34.6952471301,94.9220342124,253.13.90.134
657,artificial intelligence,Shoes,17.7021935328,73.5749800148,157.168.84.39
658,approach,Electronics,32.2391590135,76.2629286204,103.10.88.39
659,challenge,Clothing,9.563219766,76.6061322537,253.169.197.227
660,logistical,Sports,17.1554259371,76.2345750846,231.54.75.78
661,Cloned,Industrial,25.2537835534,82.3658384262,239.26.88.20
662,projection,Games,20.6286696607,79.1222913958,32.33.221.240
663,capacity,Jewelery,22.6036096366,86.3968673621,105.73.207.166
664,internet solution,Movies,15.9446982287,90.2581457131,162.153.255.173
665,solution-oriented,Books,17.2136230687,77.6203830347,101.65.3.97
666,logistical,Health,11.6087001693,76.3552260066,101.142.218.63
667,Graphic Interface,Toys,13.6096451071,81.2458365652,239.109.28.164
668,client-driven,Outdoors,34.5652375857,73.338629956,59.38.107.185
669,systematic,Beauty,14.4968146347,79.1662417,80.111.32.113
670,Vision-oriented,Baby,32.6304891178,72.3230139059,16.7.97.140
671,Persevering,Tools,22.5257159347,94.5202203305,207.235.167.190
672,contingency,Shoes,11.6461099504,75.5581238902,72.109.252.127
673,groupware,Toys,32.9967167124,91.6352033689,7.160.225.70
674,well-modulated,Shoes,10.0845250625,75.1528961355,112.185.227.230
675,conglomeration,Grocery,36.3595292846,79.4390183004,12.9.169.141
676,optimal,Automotive,34.7664506156,88.1831672138,77.60.64.85
677,bottom-line,Tools,16.9295275527,73.483887597,85.46.230.53
678,adapter,Baby,19.7469544551,76.3836597319,222.68.50.199
679,complexity,Books,18.2492673785,89.2355108036,159.194.194.77
680,exuding,Automotive,34.1040620486,76.8698160243,173.136.237.22
681,Pre-emptive,Outdoors,27.9451915724,75.2024783985,121.105.193.108
682,Exclusive,Computers,33.1304912685,90.4290530631,9.153.194.8
683,5th generation,Industrial,26.0782105185,93.2356878708,90.59.34.137
684,archive,Movies,28.5504835373,89.6473697609,22.39.205.107
685,stable,Automotive,32.5798533939,85.863761838,45.62.249.16
686,client-driven,Jewelery,16.9653670972,91.3916805106,113.105.32.245
687,strategy,Garden,37.3415460227,76.7541480199,71.81.70.111
688,Triple-buffered,Electronics,23.6880471823,81.2457586433,100.158.54.254
689,leverage,Automotive,13.5992070389,83.1306254793,67.103.182.252
690,Stand-alone,Outdoors,9.1716819468,88.9900516173,27.61.149.89
691,regional,Clothing,13.4728746963,81.2499090028,202.22.208.224
692,functionalities,Automotive,18.5482943002,78.6464282697,80.157.53.238
693,Realigned,Music,27.5424800581,89.0001158312,192.71.178.235
694,protocol,Outdoors,30.0540586571,92.7817025407,121.205.128.203
695,process improvement,Music,36.5141757841,95.9100769704,147.142.33.219
696,Intuitive,Movies,13.9612173281,84.880670926,59.37.127.68
697,maximized,Books,32.2121512043,75.7895946272,80.47.236.107
698,Secured,Garden,29.1036633786,69.4857798526,234.189.210.225
699,Configurable,Jewelery,27.5089491518,76.7402116529,29.200.78.163
700,frame,Home,22.7776798425,80.7534428047,60.243.19.239
701,Organized,Clothing,24.8060502576,93.8235925122,191.109.232.86
702,access,Sports,34.8390955305,72.8363956325,50.144.213.69
703,discrete,Home,18.0910137445,93.9961639231,254.0.123.103
704,software,Kids,26.1428902305,88.7776788941,35.7.59.56
705,Mandatory,Outdoors,14.9957659824,95.3907312659,126.40.6.253
706,Automated,Toys,24.116055965,90.603312319,249.69.131.64
707,neutral,Health,34.0214284278,76.4842356041,180.239.109.16
708,Inverse,Computers,12.9104097232,87.6469535593,25.222.58.207
709,executive,Outdoors,36.9983261432,85.6445568525,157.194.184.139
710,Pre-emptive,Shoes,26.8891338995,72.8590313949,219.96.112.14
711,Networked,Automotive,18.535805788,75.1804479505,185.237.95.160
712,Ameliorated,Automotive,22.1809755419,70.8827563166,58.158.13.30
713,methodical,Kids,18.6719213311,84.62512215,199.37.200.250
714,value-added,Shoes,16.0547362675,68.7737866429,216.180.76.19
715,executive,Kids,15.0444787704,94.5412834145,140.89.116.47
716,framework,Sports,31.1059680956,91.2407832181,97.111.93.4
717,Persistent,Shoes,26.6460654056,73.6048975217,45.163.151.164
718,intangible,Health,19.2966005982,90.3129098687,82.144.179.60
719,24/7,Tools,31.0265298,87.5508386472,119.218.150.11
720,Visionary,Shoes,16.3090954264,79.9241202645,86.98.243.38
721,methodology,Games,10.5635222635,78.5669414665,92.216.120.73
722,Streamlined,Books,19.6800891179,74.8573573637,188.44.12.136
723,benchmark,Books,31.9637483907,76.2077966487,206.87.157.192
724,radical,Tools,23.0170135032,94.3176598615,155.28.14.49
725,parallelism,Health,13.9747774369,75.0646077137,34.150.134.16
726,interface,Home,35.8934691058,75.5334230362,190.95.61.243
727,24/7,Kids,12.874667674,83.0763506853,72.185.100.72
728,Adaptive,Outdoors,18.8262636494,73.003100044,35.213.150.156
729,Up-sized,Industrial,17.6381881215,68.9132302795,40.216.133.20
730,internet solution,Books,36.7858651989,75.4165432007,209.136.147.73
731,Persistent,Movies,36.8597291576,97.0758001314,131.21.242.189
732,Ergonomic,Jewelery,26.8431826436,72.0829823476,180.131.213.209
733,portal,Movies,14.7891285712,73.6562191236,31.129.30.125
734,data-warehouse,Tools,19.4292358852,83.2468708535,225.164.135.184
735,zero defect,Automotive,28.5102976691,70.7453587799,54.125.28.192
736,support,Shoes,34.6371136447,96.1820579525,175.219.58.117
737,capacity,Games,10.4291339623,80.5256212985,85.110.153.43
738,Synergistic,Electronics,21.9167066631,89.4608102469,11.158.32.153
739,actuating,Home,22.1796422666,75.4528167227,89.138.37.158
740,stable,Games,9.3046951256,72.0619426261,93.173.106.187
741,discrete,Books,36.469145133,82.4160591955,80.28.150.122
742,zero defect,Health,28.5821042091,75.0212276567,207.119.7.61
743,architecture,Jewelery,31.434495094,71.8483504678,136.242.99.126
744,secondary,Garden,12.5077899486,84.7747441514,57.113.133.214
745,framework,Tools,27.044869308,86.773306016,136.35.33.15
746,Re-contextualized,Games,27.1999365149,72.1756130036,55.211.150.92
747,Vision-oriented,Sports,21.0729631052,75.5963712828,115.70.241.173
748,structure,Home,9.4890200448,84.8240446441,177.123.4.150
749,motivating,Beauty,24.3310466141,80.986323088,248.96.252.24
750,fresh-thinking,Books,18.2010590982,71.136479607,152.53.98.88
751,installation,Electronics,19.3400752223,79.7555085989,81.193.114.237
752,Distributed,Grocery,16.5888571612,72.2719963696,31.21.168.254
753,bottom-line,Computers,16.4108148952,94.0117815505,182.58.43.255
754,Multi-tiered,Industrial,22.4355653222,94.0014617595,37.146.56.121
755,Cross-group,Clothing,26.477720338,70.7301194682,43.52.98.203
756,Centralized,Kids,21.7759883191,96.4121193581,205.117.222.19
757,exuding,Books,33.5941888074,93.6438942269,140.70.19.49
758,adapter,Tools,30.456916617,86.0963770953,17.56.35.144
759,encoding,Garden,9.0298275827,93.5520012805,210.32.250.235
760,Networked,Games,21.3272329608,85.8965158357,63.20.189.131
761,Proactive,Electronics,12.1656458751,76.2696052349,24.77.127.78
762,reciprocal,Baby,19.365425539,77.0123761913,144.246.217.110
763,didactic,Electronics,33.8200271468,74.1309433887,138.213.145.190
764,emulation,Beauty,10.7105247238,71.1888263449,29.151.25.188
765,impactful,Sports,20.4583160411,77.0013905228,109.196.132.46
766,Extended,Industrial,32.9342441228,70.2044754986,172.169.219.224
767,Programmable,Clothing,15.9014504935,96.0571399825,25.221.33.10
768,initiative,Grocery,22.7471640971,86.6158061344,79.213.64.85
769,alliance,Grocery,37.1247826626,96.227134794,168.181.177.77
770,Switchable,Industrial,23.3422638731,82.6991913904,168.87.248.89
771,reciprocal,Books,29.8595371235,73.8775832466,196.60.213.194
772,national,Clothing,11.1695851231,90.2902859802,61.143.184.25
773,Horizontal,Clothing,17.338642905,71.4622429159,177.158.33.162
774,Reduced,Automotive,34.7477579051,94.5936293171,251.108.129.141
775,application,Jewelery,13.4253686106,77.1532864951,47.126.190.29
776,Triple-buffered,Industrial,30.0413982283,73.9542459677,227.58.230.115
777,methodical,Garden,12.7104061696,74.9513148921,27.98.143.84
778,Polarised,Tools,27.8218212527,87.8282910126,5.199.73.201
779,algorithm,Kids,23.3821484686,73.7849782727,120.242.46.189
780,Optional,Home,14.902375058,77.923662257,38.184.247.70
781,radical,Movies,14.8706864545,76.2629831428,113.163.164.164
782,explicit,Beauty,16.7456991254,81.5210383513,27.58.230.29
783,firmware,Shoes,22.103451385,84.3637162606,227.245.133.142
784,Versatile,Beauty,31.5964887884,89.1679562344,232.216.91.22
785,artificial intelligence,Automotive,9.6639544226,73.9961989694,140.163.233.142
786,neutral,Kids,27.6012927014,92.1212145751,212.118.109.42
787,Innovative,Jewelery,29.9642835633,72.2263345745,30.50.242.159
788,productivity,Books,32.1754106058,70.6649734151,236.34.125.209
789,website,Home,32.5196527861,81.8640342902,94.150.92.161
790,budgetary management,Toys,22.4498788656,78.4309420024,233.240.228.92
791,systemic,Health,16.4419207757,94.811673355,52.50.48.40
792,Configurable,Shoes,27.8131462849,85.0859538335,49.214.168.14
793,national,Industrial,13.3340252837,81.419297702,11.177.202.88
794,next generation,Music,19.3643410975,90.190292953,23.121.249.248
795,analyzer,Books,22.9146995604,77.7718910049,90.42.120.195
796,extranet,Toys,25.1258583982,74.8771705125,71.242.54.1
797,paradigm,Health,28.3964374203,88.6443796259,207.174.224.206
798,Optional,Garden,29.0582016145,80.0683890101,64.92.48.58
799,Up-sized,Games,33.1990236167,88.3738121136,121.10.229.121
800,Adaptive,Sports,37.5740649182,83.7455392951,212.18.184.45
801,framework,Clothing,13.6793974183,82.0743682293,76.227.121.129
802,Distributed,Outdoors,16.5064356179,76.234698171,223.168.226.46
803,disintermediate,Clothing,15.816823322,84.3223424611,44.85.76.216
804,eco-centric,Clothing,9.8605594391,75.567631847,4.5.132.97
805,matrix,Garden,8.6470006707,83.2659826335,51.145.247.73
806,protocol,Jewelery,10.4175322042,94.7716243715,65.58.26.158
807,user-facing,Toys,20.8314156505,88.3463608216,92.126.211.104
808,responsive,Kids,13.9626396423,95.3892645036,6.192.40.79
809,3rd generation,Health,15.4135929753,96.2829675704,77.146.176.77
810,systemic,Games,17.2731342131,83.1709015922,105.36.211.24
811,national,Sports,26.3894300921,78.9496874088,41.32.101.202
812,6th generation,Tools,8.7026246888,77.2407307245,65.236.225.49
813,capability,Automotive,15.8417367398,77.6699308354,172.180.210.203
814,Graphical User Interface,Garden,32.60741651,72.3533704864,147.88.185.211
815,Horizontal,Outdoors,16.0325082749,71.8452697847,91.175.246.203
816,Self-enabling,Books,12.0398831005,94.1888429983,166.24.39.144
817,framework,Jewelery,20.9347630798,78.2245660893,252.126.113.179
818,Expanded,Clothing,10.8113924402,91.6600606506,240.117.104.54
819,multi-tasking,Home,30.9775376985,68.9362865301,97.130.57.56
820,success,Grocery,14.8178108725,92.1130787695,115.77.59.30
821,transitional,Music,35.6155705301,80.3192624818,14.225.119.193
822,installation,Jewelery,29.0330621575,85.819404695,99.221.11.245
823,Optional,Books,33.2174728467,75.7236807375,123.183.180.103
824,content-based,Industrial,28.5112522297,74.7360365793,113.71.17.203
825,Advanced,Garden,31.1578017743,95.1825001064,102.31.116.175
826,frame,Jewelery,28.8316027737,86.1253753526,181.125.154.93
827,pricing structure,Shoes,28.9154757768,84.2334513305,14.223.198.133
828,Public-key,Sports,25.2956694065,80.8559404949,147.75.251.168
829,next generation,Health,27.6244599521,86.7582084325,68.119.49.130
830,high-level,Sports,34.145453417,82.4726658372,181.225.168.161
831,object-oriented,Kids,8.761954324,76.9322137899,144.87.49.31
832,Organic,Books,37.3940797404,89.0815990662,236.5.69.207
833,upward-trending,Toys,29.5462564674,74.5912411611,114.119.245.116
834,Reverse-engineered,Grocery,29.0235237548,75.2735117511,44.26.74.33
835,customer loyalty,Books,18.032882771,82.0344966128,64.15.244.91
836,portal,Grocery,32.4556970295,88.3571619401,125.53.255.81
837,Re-contextualized,Books,28.0791372046,85.1664210154,128.118.47.212
838,clear-thinking,Music,33.4786176956,79.6992342882,75.226.56.168
839,De-engineered,Games,34.3579542176,78.7009500245,186.80.19.165
840,Upgradable,Movies,21.0563259031,76.4576319703,141.196.32.161
841,Up-sized,Outdoors,22.9921649679,94.334731613,164.50.34.195
842,infrastructure,Sports,20.9439607713,73.7055416674,29.132.157.112
843,object-oriented,Garden,31.9779080652,70.4510024534,246.11.233.85
844,interactive,Baby,14.8246112083,69.5286656284,213.115.18.65
845,Multi-lateral,Games,32.4405203569,90.8033736792,189.156.61.18
